Country,Power_Plant_Name,Capacity_MW,Start_Year,Location,Owner,Operator,Type,Status,Annual_Generation_GWh,Lifetime_Generation_GWh,Operator_Website
Pakistan,Miller Ltd,514,1971,Steeleside,"Pratt, Sherman and Carlson",Carter-Newman,Fusion,Planned,6769.214049,38099.24498,https://ruiz.org/
Tajikistan,Booker LLC,1628,1975,Stevenbury,Frye-Rodriguez,"Brown, Lloyd and Banks",Fusion,Under Construction,9179.931868,82993.71926,https://www.moore.com/
Albania,"Lozano, Moore and Johnson",929,2000,Braunfort,Lewis-Savage,"Castillo, Jones and Delacruz",Fusion,Operational,3841.89208,83746.33742,https://king-boyer.biz/
Swaziland,Brown LLC,630,1986,West Brian,"Hoffman, Wilson and Franklin","Anderson, Choi and Meyer",Nuclear,Planned,539.2874166,38818.01193,http://vazquez.com/
New Zealand,Martinez-Vincent,226,1979,Brandonborough,Armstrong Group,Gamble-Bradshaw,Nuclear,Operational,4280.222902,82876.73058,https://wallace-mccoy.biz/
Burkina Faso,Hansen-Banks,1906,2005,Haleview,Washington-Garza,"Reed, Walters and Nunez",Fusion,Planned,1577.729315,30387.18993,http://olsen.biz/
Netherlands Antilles,"Johnson, Stewart and Taylor",393,2001,North Hannah,"Hansen, Miller and Wilkins","Scott, Johns and Reynolds",Nuclear,Planned,1389.546561,69154.79438,https://www.farmer-jones.com/
Gibraltar,"Sullivan, Jones and Kline",1870,2008,Nathanielhaven,Perez LLC,"Peters, Black and Schultz",Fusion,Operational,2237.984831,32793.20617,https://rivera.com/
Bolivia,Jones-Strickland,1104,2018,Lake Johnny,"Hendrix, Murray and Craig","Goodwin, Fitzgerald and Mays",Fusion,Planned,4329.439019,60334.43946,https://www.rodriguez.info/
Norway,Brown PLC,1400,2007,West Stephanie,Lewis Group,"Jackson, Miller and Finley",Nuclear,Under Construction,4885.587343,82925.60929,http://hernandez-moody.com/
Equatorial Guinea,"Berry, Williams and Hunt",1673,2012,North Susanburgh,"James, Miranda and Jordan",Reed Inc,Fusion,Operational,6142.740753,70133.81936,https://www.arellano-wright.org/
Burundi,Morgan and Sons,1665,1976,New Davidport,Hamilton-Kelly,"Lopez, Jones and Collins",Fusion,Planned,8991.668679,30349.82179,http://mccormick.com/
Afghanistan,"Allen, Ramos and Perry",1975,1991,North Cynthia,Sanchez-Hamilton,Rivera Group,Fusion,Operational,611.5964702,57902.50791,https://adams-hoffman.com/
Pitcairn Islands,French PLC,284,1996,Smithbury,Day-Lewis,Blackburn-Clark,Fusion,Planned,2500.007193,44559.68746,https://frazier-brady.net/
Luxembourg,"Fox, Odonnell and Mann",921,1991,East Michaelville,Brock-Davidson,"Parker, Lamb and Hubbard",Fusion,Under Construction,8770.894525,92919.74649,https://ellis-jackson.com/
Norfolk Island,"Hanson, Daniel and Williams",1121,1983,Port Abigailchester,Sweeney-Flores,"Turner, Berger and Sanchez",Fusion,Under Construction,4651.12095,74941.40063,http://castillo-bruce.biz/
Brazil,Mendoza-Tate,521,1993,North Nicholasview,Phillips Inc,Adams-Moore,Fusion,Planned,7409.357811,46361.98846,https://www.oconnor.com/
Vietnam,Oconnell-Cochran,1433,1978,New Timothyville,"Byrd, Johnson and Stewart",Mclaughlin-Pena,Nuclear,Under Construction,6245.677541,44959.31822,https://figueroa.com/
Lesotho,Lawrence PLC,1163,1992,Huberburgh,Mcneil-Brooks,"Johns, Medina and Campbell",Nuclear,Operational,7939.270157,92286.18713,http://www.holmes.com/
Mali,Carey and Sons,1802,1978,Watkinsport,Beltran-Murray,Rios PLC,Nuclear,Planned,4742.189318,61380.35072,http://www.lucas.com/
Estonia,"Goodman, Clarke and Rodriguez",1615,2008,Ginachester,Steele-Chapman,"Mcdaniel, Hamilton and Casey",Nuclear,Operational,5077.909357,49401.6568,http://goodman-atkinson.org/
Portugal,"Hogan, Moore and Allen",652,1986,Frankview,Le-Long,Hobbs Ltd,Fusion,Under Construction,8231.283494,62542.49212,http://andrews-barry.com/
Mauritius,"Wells, Lee and Mclean",933,1975,Stephensberg,Kerr Group,"Herman, Martin and Andrade",Fusion,Under Construction,5882.498326,28893.41679,http://www.dunn-taylor.com/
Malta,Mills-Burns,1781,1978,North Timothy,Martinez-Gardner,"Schneider, Small and Ross",Fusion,Under Construction,1546.059198,98579.91803,http://sullivan.org/
Somalia,Burns LLC,472,2011,Lake Peter,Lee-Wilson,"Gillespie, Velez and Byrd",Fusion,Under Construction,8072.930297,41356.24821,https://reyes.com/
Turks and Caicos Islands,Bishop-Jones,927,2007,North Allisonborough,"Lopez, Reyes and Andrews",Cox-Baker,Nuclear,Planned,5475.518511,26467.2975,https://french-hutchinson.net/
North Macedonia,Conrad-Beck,604,2021,Travisville,Edwards PLC,Smith-Nunez,Fusion,Under Construction,3532.188821,96668.00015,https://www.morris-brown.com/
Antigua and Barbuda,"Brown, Moss and Murphy",1595,1992,Lake Stephen,Strong Ltd,"Francis, Cain and Griffin",Nuclear,Operational,196.5846968,44178.31841,http://www.short-hernandez.com/
British Virgin Islands,Williams-Medina,1392,2003,East Markville,Franklin-George,Mckenzie Group,Nuclear,Planned,9770.395476,80544.54369,http://www.murray.com/
Albania,Flores Inc,307,1972,Port Dennisview,Randall-Long,"Copeland, Gordon and Morales",Fusion,Under Construction,3453.026396,19142.74464,https://www.garcia.com/
Ghana,Pena Ltd,354,2010,Hardinville,Allen-Lewis,Taylor-Monroe,Nuclear,Under Construction,9448.622532,36795.80773,http://www.taylor.com/
Cameroon,Mitchell Inc,1298,2005,New Gail,Mendez Inc,Foster and Sons,Fusion,Under Construction,4097.475382,31198.08647,http://navarro-nguyen.biz/
Bosnia and Herzegovina,Kemp-Joseph,1828,2020,East Darryl,Smith-Martin,Walker Inc,Fusion,Operational,1039.250424,95297.4783,http://shah.biz/
Tunisia,"Johnson, Haas and Ball",511,2002,Elizabethside,Garrett-Banks,Benjamin-Garner,Fusion,Under Construction,2925.542659,79017.0407,http://www.williams.info/
Luxembourg,Freeman-Wilson,1762,2008,Nelsonfurt,Wall-Thompson,Macias Ltd,Fusion,Under Construction,4414.133669,94951.0018,https://wade.org/
Bolivia,"Jenkins, Schmidt and Ball",205,2020,Port Rachelmouth,Sanchez Ltd,Mayer Inc,Nuclear,Planned,5566.777237,35195.70923,https://bautista.com/
Peru,Burke-Jackson,124,1994,Hayeschester,Clark-Reeves,Galvan Group,Nuclear,Planned,9014.56184,64496.12268,http://liu.biz/
Kiribati,Taylor-Taylor,729,2005,East Cherylton,Guerrero and Sons,Delgado-Smith,Fusion,Planned,105.9324333,53392.70302,http://reynolds.com/
Comoros,Pruitt Group,581,1979,North Justin,Heath Ltd,"Williams, Ross and Williams",Nuclear,Planned,1242.913251,76765.85202,http://hendricks-brandt.com/
British Virgin Islands,Walker-Bautista,274,1991,Ramosstad,Smith PLC,Watkins LLC,Nuclear,Under Construction,1536.23123,94879.68975,http://huffman.com/
Niger,"Thomas, Davis and Palmer",1147,1979,North Autumn,Garcia-Harrell,Dodson LLC,Fusion,Under Construction,2559.776709,19376.0851,https://evans.com/
Switzerland,Soto Inc,1545,2010,East Richard,King Inc,"Hood, Salas and Abbott",Fusion,Under Construction,1831.814424,19700.66798,https://www.johnson-mays.org/
Denmark,Davis-Singleton,1193,1976,South Crystalport,Graham-Blair,Robinson Group,Nuclear,Operational,2242.019204,13984.71117,https://www.sawyer-henry.com/
Niue,Webster PLC,1183,1986,Hudsonton,"Gutierrez, Garrison and Jackson",Romero Inc,Fusion,Under Construction,1418.272106,12142.47571,http://www.wallace-reeves.biz/
Reunion,Hawkins LLC,1328,1998,Port Javierburgh,Rodriguez Ltd,Davis Ltd,Nuclear,Under Construction,8932.052875,19441.66061,http://www.garcia-carrillo.org/
Martinique,"Christian, Robertson and Romero",1901,2007,Lake Roger,"Cruz, Harris and Donaldson","Garcia, Simmons and Burns",Nuclear,Under Construction,6868.586148,13465.49484,https://www.roy.info/
Finland,"Edwards, Hayes and Kennedy",498,2014,Catherineton,"Nunez, Hunter and Ramsey",Nelson Ltd,Fusion,Planned,801.4722095,32639.1822,http://alvarado.com/
Algeria,Jefferson-Rodriguez,1780,2001,Jeanneberg,"Martinez, Mayo and Mcintyre",Chen-Duran,Fusion,Planned,356.3715172,13267.02251,http://reyes-long.com/
Germany,Nash and Sons,1454,1979,Stevenchester,"Reese, Henderson and Gibbs","Powell, Ramos and Gallagher",Nuclear,Planned,6613.466157,77837.84424,https://obrien.com/
Tanzania,Hunt LLC,311,1987,Millerton,Lopez-Adams,"Harrison, Bond and Wilson",Nuclear,Under Construction,3500.946518,19398.35486,http://www.rodriguez.com/
Bangladesh,Pruitt and Sons,1238,1973,Williamborough,"Watson, Wood and Conner","Bradford, Mercado and Norris",Fusion,Operational,8690.216143,13108.11914,http://www.nelson.net/
Seychelles,Deleon-Erickson,266,1979,Lake Richardmouth,Miller PLC,Delacruz LLC,Fusion,Operational,2304.499047,63460.76621,https://www.hartman.com/
Saint Lucia,Hill PLC,472,1995,Coleside,"Fields, Miller and Conley","Hill, Thornton and York",Fusion,Planned,4445.664749,72654.75053,http://melton.com/
Wallis and Futuna,"Brown, Tucker and Nelson",277,2012,Andersonview,Sampson and Sons,"Daniels, Armstrong and Scott",Nuclear,Planned,9771.980977,49255.80665,https://www.long-anderson.info/
Nepal,"Chang, Johnson and Le",580,1994,Jessicaborough,Smith-Baker,"Lane, Freeman and Griffin",Nuclear,Planned,7774.254678,37349.24129,http://www.mason-jones.com/
Finland,Cobb and Sons,348,2016,North Shanefurt,Thompson Inc,Sullivan Inc,Fusion,Planned,5157.648091,47731.73219,http://www.williams.com/
Qatar,Anderson and Sons,201,1979,South Amytown,"Boyd, Collier and Spencer",Ray-Gross,Fusion,Operational,796.8654445,56389.30066,http://www.richardson.com/
Bouvet Island (Bouvetoya),"Sims, Lopez and Becker",1182,1995,Tylertown,Jimenez Inc,Mendoza-Garcia,Fusion,Under Construction,806.0770628,55352.41078,https://werner.com/
Saint Lucia,"Maldonado, Roberts and Taylor",637,1984,Meyerport,Gonzalez-Wright,Ward and Sons,Nuclear,Planned,3023.65494,76601.95446,https://www.white.com/
Malta,Cohen Group,611,1980,Petersonhaven,Johnson-Bryant,Montes-Brennan,Fusion,Planned,8352.490411,88757.76506,https://www.fuller-alvarez.com/
Ethiopia,Wood PLC,959,1996,Vargasview,Nunez and Sons,Johnson-Howard,Fusion,Under Construction,5813.943335,56958.64964,https://www.cochran.com/
Sudan,"Cook, Gonzalez and Ross",1153,1973,Powellburgh,Stewart PLC,Long Group,Fusion,Operational,9921.166705,47517.66708,http://www.warner.org/
Brazil,"Fox, Martinez and Smith",1663,2018,Roweside,Lozano Ltd,Grant PLC,Fusion,Operational,3100.452168,54050.12418,https://mosley.com/
United States Minor Outlying Islands,Hale PLC,235,1977,Port Amandaville,Le-Montgomery,Miller-Banks,Nuclear,Under Construction,3483.927487,10276.83869,https://www.gregory.com/
Isle of Man,Johnson LLC,1453,2016,Karenstad,Bryan and Sons,Ellis LLC,Nuclear,Planned,7516.280296,44285.74308,http://davis-schultz.biz/
Guyana,"Taylor, Miller and Shelton",1422,2012,Ayalaberg,Nguyen-Hays,Smith Ltd,Nuclear,Under Construction,3010.826611,96507.52551,https://avila-porter.com/
Bosnia and Herzegovina,English Inc,598,2005,New Vanessa,Jackson-Simmons,"Mills, Duncan and Ray",Nuclear,Operational,5301.013603,13044.89667,http://scott.com/
Pakistan,Wilkerson Inc,1446,2001,Port Kyle,"Vang, Castro and Ramirez",Mitchell Group,Fusion,Under Construction,6392.361164,10557.01735,http://www.neal.com/
Reunion,Quinn-Williams,1346,1994,Lake Jeffreytown,"Hodges, Steele and Cook",Wang Inc,Fusion,Under Construction,9798.196097,54336.39832,http://www.parsons.com/
Sri Lanka,Stone-Villarreal,1807,1988,South Sharon,Olsen-Silva,Callahan and Sons,Nuclear,Under Construction,4639.859969,27355.59037,https://farmer.org/
Vietnam,Horn-Bruce,189,1975,Michaelville,"Osborne, King and Welch","Smith, Mcfarland and Ross",Nuclear,Operational,5808.066026,50328.22284,http://schneider.com/
Belgium,Wilson and Sons,1240,2008,Castanedafort,"Fuller, Ramirez and Miller",Terry LLC,Nuclear,Operational,5002.473819,49935.72899,https://www.wolfe.org/
Andorra,Sullivan-Chang,1098,2021,Huangborough,Miles and Sons,Morris-Campbell,Fusion,Operational,2239.712553,64045.33092,https://www.lopez-johnson.com/
Gambia,"Martin, Powell and Cox",303,1970,Michelleborough,"Foster, Young and Walker","Brewer, Forbes and Anderson",Fusion,Planned,7792.029751,92037.31869,http://vaughan.com/
San Marino,Gonzalez-Carter,330,1973,New Micheleberg,Davis and Sons,"Henderson, Sanchez and Burns",Fusion,Operational,1985.422057,46679.91767,https://walker-moore.info/
Ecuador,"Scott, Barrera and Decker",874,1998,Jasonhaven,"Hunter, Rodriguez and Thompson",Carter-Noble,Fusion,Under Construction,2885.251259,85064.61152,http://adams-christian.info/
Luxembourg,"Solis, Washington and Trujillo",583,1992,Krausechester,Smith-Harmon,"Scott, Turner and Barnett",Fusion,Under Construction,5213.987225,86918.56176,https://www.murray.biz/
Jersey,Patel-Spencer,969,1990,Greeneborough,Romero Ltd,Gonzalez-Anderson,Nuclear,Planned,1279.371124,95203.61952,https://www.phelps.net/
French Southern Territories,Decker-Mason,152,2020,Heidihaven,Barnett-Smith,Johnson Inc,Fusion,Under Construction,6210.928948,17351.71317,https://scott.com/
Nepal,"Vance, Hanson and Phillips",1874,2003,Reynoldstown,Walker-Lopez,Williams-Strickland,Nuclear,Under Construction,4028.711424,65036.26514,https://benson-thomas.com/
Papua New Guinea,Wilson-Bradley,577,2011,Allenborough,Bean Ltd,Hughes Group,Fusion,Under Construction,2806.261033,43069.83985,http://sanchez.com/
Monaco,"Franklin, Murray and Delacruz",1399,2013,New Gregory,Shelton-Flynn,"Garner, Brock and Mckay",Nuclear,Under Construction,4118.143167,96909.7585,https://www.pham.com/
Congo,Francis-Davila,216,1991,Erichaven,"Cohen, Walker and Miller",Phillips Ltd,Nuclear,Operational,334.2109507,77082.69854,https://www.gibson.com/
Tokelau,Ho Group,384,1982,Danielton,Johnson-Marshall,Scott-Garcia,Fusion,Operational,2315.202689,29255.45374,http://zamora.biz/
French Guiana,"Pham, Scott and Guzman",1016,1998,Lake Nicholasberg,Gregory LLC,Romero-Lopez,Fusion,Under Construction,8248.087456,29189.76043,https://dunn.com/
Paraguay,Miller-Wilson,1381,2020,Alexandrafort,Lopez-Charles,"Graves, Newton and Castillo",Nuclear,Planned,2578.075899,86230.79215,http://green.info/
Iran,Lynch LLC,1530,2007,Millerburgh,Martin-Alexander,Gutierrez Group,Nuclear,Operational,3919.858874,12177.08057,https://barrera-reynolds.org/
Italy,Lucas LLC,656,1983,Scottmouth,Graham-Williams,Lewis Group,Nuclear,Planned,2119.879752,39815.45157,https://www.stevenson-warren.com/
North Macedonia,Thomas-Taylor,814,1988,Dillonmouth,Jones-Lane,Gilmore-Martin,Nuclear,Operational,2822.222562,31241.29273,http://castro-rodriguez.net/
Gabon,Munoz-Dennis,1860,1970,Austinfort,Wells Group,Hughes Inc,Fusion,Operational,1147.525979,16509.75623,https://www.cooper-dennis.com/
Greenland,Taylor Group,672,2022,Michellefort,Galloway-Wilkins,Martinez PLC,Nuclear,Under Construction,7541.911968,32262.30564,https://www.warner.com/
Malaysia,Kelly-Murphy,359,1992,New Steve,"Beck, Larson and Smith",Tapia-Salazar,Fusion,Planned,4205.296825,63484.75042,http://www.brown.com/
Cote d'Ivoire,"White, Tucker and Bowman",1003,2002,Christopherville,"Salas, Lynch and Young",Schaefer-Hudson,Fusion,Planned,674.873875,31388.83591,http://www.wilson.com/
China,Vang Ltd,800,1976,East Brandonstad,Rivera PLC,"Rodriguez, Scott and Alvarez",Fusion,Under Construction,701.0866414,77570.38884,https://miller.com/
Seychelles,Bailey and Sons,579,1996,Tylerview,Ramos-Nunez,Rubio LLC,Nuclear,Operational,7266.864393,24618.27317,https://rogers-jones.com/
Togo,Guzman-Lee,1340,1986,East Sean,Mcintosh-Smith,Swanson-Lewis,Fusion,Under Construction,8880.708725,58164.39628,http://www.valencia.net/
Qatar,"Flores, Manning and Ochoa",1526,1992,North Jamesside,Rodriguez-Lopez,"Davis, Cole and Torres",Fusion,Planned,4936.457703,89608.87352,http://www.williams-davis.info/
Kyrgyz Republic,Dixon-Johnson,844,2023,Lake Linda,"Smith, Juarez and Klein",Barrera-Henderson,Fusion,Under Construction,7564.677323,31254.56717,https://thomas.com/
Nicaragua,"Carr, Miller and Mccoy",1953,1974,New Lisamouth,Case-Berry,"Orr, Meyer and Williams",Fusion,Operational,9681.906028,74577.92768,https://www.jones.info/
Italy,Ramirez-Blankenship,1904,2003,South Edwardland,"Bradley, Roberts and Ayers",Collins-Roth,Nuclear,Planned,4039.775575,45214.09548,http://hurst.com/
Kyrgyz Republic,Conway LLC,1622,1993,South Rodneyton,Marquez Ltd,Calhoun PLC,Nuclear,Under Construction,1772.025395,94571.68829,http://www.smith-powell.info/
Cyprus,Herrera-Coleman,1812,1972,Garciaville,James PLC,"Myers, Marsh and Duncan",Nuclear,Under Construction,9243.518257,84277.2109,https://www.watkins.org/
American Samoa,Murphy-Carpenter,1354,2012,Melindachester,Petersen LLC,"James, Oliver and Martin",Fusion,Operational,4452.346787,75796.04996,http://bush.com/
Jamaica,"Guzman, Johnson and Johnson",1111,1981,East Kimberly,"Shelton, Ray and Williams",Richards-Carlson,Fusion,Under Construction,9587.664261,99234.87922,http://www.miller.info/
Sierra Leone,Matthews Group,1328,1972,Mitchellside,"Moreno, Reed and Mccall","Johnson, Bentley and Clay",Nuclear,Operational,5945.591841,77588.77407,http://armstrong.net/
Benin,Morgan Inc,1809,1974,West Christy,"Higgins, Hammond and Ochoa",Jacobs PLC,Fusion,Under Construction,8051.291615,61563.13021,http://www.hale.com/
Mozambique,Hebert-Fletcher,661,1985,Christopherberg,Allen Group,Perkins-Gonzales,Nuclear,Operational,1196.869964,32982.66919,http://www.jones-perry.info/
Belgium,Russell LLC,1196,2011,Barbertown,Lopez Group,Burns Group,Nuclear,Under Construction,6682.951631,24645.78993,https://macias.com/
Palestinian Territory,"Melton, Moreno and Thompson",1184,1983,Douglasberg,"Hendrix, Welch and Smith","Jensen, Logan and Rich",Nuclear,Planned,8466.049059,77394.77146,http://carter-wilson.biz/
Trinidad and Tobago,Turner PLC,1702,2005,Melissaborough,Martin-George,Harding-Coleman,Fusion,Planned,6226.431858,31686.30948,https://moore.com/
Sao Tome and Principe,Reed Ltd,1543,2017,New Carlos,Anderson Group,Lawson Inc,Fusion,Operational,6703.187417,88431.2365,http://www.price.com/
Ghana,Thomas Inc,1970,1987,East Jeffrey,Mooney and Sons,Duncan Inc,Nuclear,Under Construction,5380.98156,81018.15905,https://mcgee.info/
Andorra,Gray Inc,1896,2005,Port Derrickside,Dorsey-Friedman,Klein-Miller,Nuclear,Operational,390.2261438,53748.7418,http://adams.info/
Svalbard & Jan Mayen Islands,Case-West,311,1986,Matthewshire,Dalton and Sons,Williams and Sons,Nuclear,Under Construction,4662.656293,66679.40042,http://www.franklin.info/
Malawi,Russell and Sons,244,1976,Port Kenneth,Smith Inc,"Martinez, Roberts and Scott",Nuclear,Under Construction,6274.66776,57821.12435,https://www.gutierrez-stevenson.biz/
French Southern Territories,Olsen-Thomas,679,1984,Salazarhaven,Berry-Richardson,"Murphy, Scott and Wilson",Nuclear,Operational,5977.74931,76835.98126,https://www.campbell-cole.net/
Faroe Islands,"Miller, Roman and Kim",863,2015,Allenburgh,Lopez-Mccarthy,"Harrison, Rose and Yates",Nuclear,Under Construction,9392.904105,82560.6951,http://www.woods.net/
French Guiana,"Garcia, Mann and Reynolds",640,1971,South Nicole,"Hensley, Bird and Conway",Reeves PLC,Fusion,Operational,5940.219514,76696.01668,http://www.gardner.org/
Malawi,Turner LLC,1658,2022,Stewartmouth,"Stevenson, Gilmore and Mendez","Castillo, Stephenson and Andersen",Fusion,Operational,8763.683727,36865.20647,http://giles-smith.info/
Svalbard & Jan Mayen Islands,Jones-Brown,638,1986,Port Laurabury,Olson PLC,Brown-Martin,Fusion,Under Construction,5649.980279,57730.30008,https://miller.biz/
Antigua and Barbuda,Taylor and Sons,875,1996,North Rebeccaport,Jones-Osborn,Rios PLC,Fusion,Under Construction,3097.914673,22475.58247,https://www.boyd-long.com/
Guinea-Bissau,Montgomery Group,590,1987,Campbellburgh,Chan-Bell,"Carter, Edwards and Ramirez",Fusion,Under Construction,7920.033555,41884.51884,http://www.alvarez.com/
Cote d'Ivoire,Castillo PLC,824,2003,South Christopher,Reed-Phillips,Santiago Ltd,Nuclear,Planned,5556.83055,91312.58859,http://garcia.biz/
Japan,"Moore, Molina and Turner",1549,2017,South Ricardo,Daniels and Sons,"Walters, Reynolds and Hayes",Fusion,Planned,5617.949841,93993.05686,https://ramirez.info/
Dominica,White-Goodman,326,1981,Lake Becky,Sullivan-Davis,Simpson-Jones,Nuclear,Planned,8640.47592,24690.43792,https://www.johnson.com/
Greece,Johnson Group,1799,2005,Annamouth,Green-Mendez,Taylor-Gomez,Nuclear,Under Construction,1654.103823,67671.47729,http://www.hayes-sutton.org/
Costa Rica,Wise-Blackwell,1203,1998,North Tammy,Burgess-Stewart,Cox LLC,Nuclear,Operational,5472.093752,73400.75246,https://www.gomez.com/
Albania,Lewis and Sons,318,2012,Philipchester,"Sherman, Ramirez and Sanchez",Williams-Green,Fusion,Under Construction,6747.931517,48849.42653,https://www.brown.com/
Christmas Island,Hill Group,1982,2011,Hillberg,Gay-Harrington,Clayton-Marshall,Fusion,Operational,6166.402785,40088.33588,http://snyder-young.net/
Sri Lanka,Rodriguez Group,613,1972,Sandersside,Coleman LLC,"Cunningham, Hill and Steele",Fusion,Operational,2649.682259,68103.2859,https://johnson.biz/
Indonesia,Elliott-Shannon,1304,1972,Smithshire,"Frazier, Sullivan and Brown",Harvey-Smith,Fusion,Operational,3951.495652,71195.5382,http://valenzuela.com/
Saint Pierre and Miquelon,"Bishop, Braun and Huffman",160,1977,Phelpsview,Beard LLC,Romero-Smith,Fusion,Under Construction,4012.105223,60576.59966,http://www.castro-woods.info/
Nepal,Hendricks Inc,1335,2020,Phillipsfurt,"Mendoza, Johnson and Collins","Mccall, Burns and Harrison",Fusion,Operational,6774.741234,84264.71086,http://klein.org/
Namibia,Elliott Group,365,2002,Donaldport,Henry-Le,"Cantrell, Sanders and White",Fusion,Under Construction,8256.124245,32732.0394,http://www.knight-burns.org/
Macao,"Anderson, Rodriguez and Dunlap",1536,1990,North Kimberlyfurt,Hall PLC,Cabrera-Parker,Fusion,Operational,504.7617475,46282.42306,http://lewis.org/
Israel,Callahan and Sons,757,1986,West Cassandraberg,Underwood-Campbell,White Group,Nuclear,Operational,5767.867343,50786.28696,http://www.lopez.com/
Egypt,"Wilson, Howard and Rodriguez",580,2010,Gwendolynton,Morrison Ltd,Carlson-Jennings,Fusion,Under Construction,348.5571315,20171.75143,https://www.mckinney.net/
Brazil,Wang Group,1875,1990,Davisland,Nelson LLC,Quinn Group,Fusion,Under Construction,8761.272981,61641.95142,http://barnes.com/
Guernsey,Smith-Baker,421,2003,New Fernandoside,Dean-White,"Reid, Sanchez and Barry",Nuclear,Under Construction,2992.315204,44266.89018,http://www.sheppard-cole.biz/
Bulgaria,Holder LLC,1721,1971,New Catherineberg,Johnson-Mitchell,Figueroa LLC,Fusion,Operational,5663.166641,62627.37872,http://french.info/
Bhutan,Cantu-Smith,1460,1977,Riverabury,Ramirez-Fernandez,"Richards, Foley and Watson",Fusion,Planned,2288.20313,27192.488,http://www.vincent-callahan.com/
Chad,"Bell, Kennedy and Wilson",947,2008,South Joshualand,Jensen Ltd,Cox LLC,Nuclear,Operational,7579.587374,72457.4145,https://tran.com/
Denmark,"Nelson, Reese and Gomez",541,2010,Lake Cassidy,"Oneill, Paul and Peterson",Vasquez-Bush,Nuclear,Operational,1883.44445,93005.64566,https://www.matthews.com/
Norway,"Hines, Daniels and Vargas",1289,1999,Cartermouth,Vega-Reyes,Fowler Ltd,Nuclear,Planned,398.2242864,90642.12365,https://oconnor.com/
Aruba,Bell-Gay,870,2015,Taylorhaven,"Smith, Peters and Flores",Soto-Merritt,Nuclear,Planned,809.7222709,13381.95358,http://www.fletcher-adkins.info/
Uganda,Davis-Bowen,1420,1989,Port Tyrone,"Burton, Johnson and Mathis","Santos, Rogers and Carter",Nuclear,Planned,5346.990105,93237.11744,https://www.anderson.biz/
Pakistan,"Ray, Cook and Wade",722,1982,Port Andrew,Peterson-Allison,Williamson-Flores,Nuclear,Operational,4586.343864,14866.67463,http://www.jones.info/
Norfolk Island,Walker LLC,751,1993,New Jamesburgh,Ross Ltd,Hernandez and Sons,Nuclear,Planned,4861.888017,95180.10556,http://perez.info/
Afghanistan,Harris and Sons,258,1997,Port Hannahhaven,"Smith, Thomas and Lopez",Daniels Ltd,Fusion,Under Construction,516.2305912,26217.19725,http://www.meyer.com/
Korea,"Byrd, Edwards and Fuller",628,2017,Solisfurt,Ortiz Group,"Russell, Roberts and Woods",Nuclear,Planned,7877.629135,52633.76559,http://molina.net/
North Macedonia,Gutierrez Group,1154,2009,Lake Sonyaton,Newman Group,"Smith, Davis and Dalton",Fusion,Planned,9372.850924,38561.50302,http://alexander.com/
Switzerland,Walton-Lewis,1255,2001,South Christine,Jarvis-Alvarado,Wilson PLC,Fusion,Under Construction,3459.856876,28807.897,http://www.beck-lee.com/
Cook Islands,"Morgan, Williams and Chapman",1413,1982,South Hunterchester,Cummings-Hernandez,Palmer-Wells,Fusion,Operational,2874.961414,92682.86288,https://www.cruz.com/
Belize,Fleming-Watson,1818,1986,Brittanyview,Sawyer Group,Allen-Taylor,Fusion,Planned,3226.39813,56443.87528,http://charles.biz/
Timor-Leste,Herrera Inc,306,2011,East Kelliburgh,"Barber, Lucas and Johnson",Wheeler Group,Fusion,Operational,6707.408103,17997.60181,https://cunningham.com/
Uruguay,Hernandez PLC,538,1987,Robertland,Sweeney-Vargas,"Roman, Yang and Cohen",Nuclear,Under Construction,8324.406682,16458.96484,http://www.jimenez-scott.com/
Guadeloupe,Christensen-Ritter,380,2004,North Tiffany,"Davis, Nixon and Hall","Church, Hill and Roberts",Nuclear,Under Construction,6355.167029,86322.71207,http://smith-briggs.com/
Croatia,Smith Ltd,781,1994,Williamsfort,Shields LLC,"Mcdonald, Zimmerman and Myers",Fusion,Planned,4473.756339,92436.63065,https://jones-lopez.com/
Korea,"Davis, Frost and Patterson",560,1986,Lake Rebecca,Stevens Inc,"Conner, Wagner and Hernandez",Nuclear,Operational,7399.326659,66827.60214,http://berry.com/
Cameroon,Bailey Ltd,754,1983,East Mary,Juarez-Glover,Coleman LLC,Nuclear,Planned,4473.321239,41317.81569,https://www.sharp.com/
Congo,"Gilbert, Ford and Lee",452,1973,Cindyfort,Lambert-Hanson,Bell PLC,Fusion,Operational,3774.222229,82031.32002,http://www.hernandez.info/
Ireland,Simmons-Kennedy,628,1979,Jimmyview,"Turner, Smith and Ortiz",Carrillo-Rice,Fusion,Operational,7689.036028,32234.71732,https://warner.com/
Finland,"Powers, Cole and Foster",1452,2015,Port Johnmouth,"Christensen, Francis and Andrade","Graham, Robinson and Moses",Fusion,Under Construction,3401.695506,81601.04676,http://watkins.com/
American Samoa,"Phillips, Collins and Miller",1950,2004,Martinton,Petersen-West,Mahoney LLC,Nuclear,Under Construction,8008.854031,39418.73327,https://www.montgomery.com/
Bhutan,"Parker, Allison and Ellis",105,2009,West Deniseberg,"Medina, Anderson and Santos",Austin-Rosales,Nuclear,Under Construction,1894.820432,97454.79619,https://www.greene.com/
American Samoa,Preston-Thornton,443,1987,East Jamieburgh,Johnson-Robinson,Perez-Garner,Fusion,Planned,1722.082666,94181.05289,http://www.morales.com/
